,in_small,in_full,degree_small,degree_full,sources_small,sources_full,explanation,degree_change
average thickness,1,1,77,124,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'average thickness',47
basin depocenter position,1,1,12,37,"Moscardelli_and_Wood_2008.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 3-s2.0-B9780128130810007047-main.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json",Strong match to 'basin depocenter position',25
bs flat sub-horizontal zone,1,1,16,47,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json",Strong match to 'bs flat sub-horizontal zone',31
bs median slope,1,1,29,61,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'bs median slope',32
bs ramps,1,1,71,118,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'bs ramps',47
bs strong amplitude,1,1,74,119,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'bs strong amplitude',45
chaotic facies distribution,1,1,17,58,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'chaotic facies distribution',41
chemical effects,1,1,59,99,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'chemical effects',40
compaction during burial,1,1,36,68,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 386816a0.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'compaction during burial',32
deformed facies distribution,1,1,41,73,"Bull & Cartwright (2009).json, Moscardelli_and_Wood_2008.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Submarine_Mass_Movements_on_Continental.json, Wei Li a,⁎, Tiago M. Alves.json","1-s2.0-S0025322712000412-main.json, 1-s2.0-S0025322713000571-main.json, 1-s2.0-S0040195109002819-main.json, 1-s2.0-S0191814106000101-main.json, 1-s2.0-S0264817216304585-main.json, 3-s2.0-B9780128130810007047-main.json, 845.json, 9781565762879_ch02.json, 9781565762879_ch03.json, A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json, Alves_AAPG_MTDs_14.json, Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json, Bull & Cartwright (2009).json, Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json, D. Leynaud.json, Dos-Reis-et-al-2016-MPG.json, Elverhoi, A., Breien.json, Giacomo Dalla Valle.json, Ian R. Clark, Joseph A. Cartwright.json, J. S. Laberg.json, JFM_709_2012.json, JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json, JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json, Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json, Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json, Moscardelli_and_Wood_2008.json, RichardsonetalBasinResearch2011-online (1).json, S. Lafuerza, N. Sultan.json, Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json, Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json, Simon E. Lee.json, Submarine_Mass_Movements_on_Continental.json, Two-scale_gravitational_collapse_in_the_Amazon_Fan.json, Wei Li a,⁎, Tiago M. Alves.json, epjbidisperse2007.json, lacoste-et-al.json",Strong match to 'deformed facies distribution',32
