node,class,total_occurrences,num_articles,articles
hs morphology,OTHER,1606,37,"Ian R. Clark, Joseph A. Cartwright.json(49); 9781565762879_ch03.json(48); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(32); JFM_709_2012.json(55); 1-s2.0-S0191814106000101-main.json(53); Giacomo Dalla Valle.json(46); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(24); epjbidisperse2007.json(45); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(38); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(24); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(46); lacoste-et-al.json(49); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(54); Bull & Cartwright (2009).json(58); Dos-Reis-et-al-2016-MPG.json(45); Alves_AAPG_MTDs_14.json(40); 386816a0.json(17); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(45); D. Leynaud.json(45); 1-s2.0-S0025322713000571-main.json(41); Moscardelli_and_Wood_2008.json(62); 1-s2.0-S0025322712000412-main.json(38); Wei Li a,⁎, Tiago M. Alves.json(47); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(37); 9781565762879_ch02.json(60); J. S. Laberg.json(39); RichardsonetalBasinResearch2011-online (1).json(47); 3-s2.0-B9780128130810007047-main.json(37); Submarine_Mass_Movements_on_Continental.json(66); Elverhoi, A., Breien.json(44); 1-s2.0-S0040195109002819-main.json(45); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(49); S. Lafuerza, N. Sultan.json(27); 845.json(34); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(56); Simon E. Lee.json(28); 1-s2.0-S0264817216304585-main.json(36)"
frontal compression,OTHER,1483,37,"Ian R. Clark, Joseph A. Cartwright.json(42); 9781565762879_ch03.json(53); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(26); JFM_709_2012.json(29); 1-s2.0-S0191814106000101-main.json(40); 1-s2.0-S0264817216304585-main.json(30); Giacomo Dalla Valle.json(34); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(21); epjbidisperse2007.json(33); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(32); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(46); lacoste-et-al.json(37); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(61); Bull & Cartwright (2009).json(59); Dos-Reis-et-al-2016-MPG.json(48); Alves_AAPG_MTDs_14.json(48); 386816a0.json(11); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(47); D. Leynaud.json(36); 1-s2.0-S0025322713000571-main.json(41); Moscardelli_and_Wood_2008.json(65); 1-s2.0-S0025322712000412-main.json(32); Wei Li a,⁎, Tiago M. Alves.json(45); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(24); 9781565762879_ch02.json(58); J. S. Laberg.json(34); 3-s2.0-B9780128130810007047-main.json(24); Submarine_Mass_Movements_on_Continental.json(70); Elverhoi, A., Breien.json(44); 1-s2.0-S0040195109002819-main.json(50); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(39); 845.json(39); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(60); Simon E. Lee.json(31); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(18); RichardsonetalBasinResearch2011-online (1).json(48); S. Lafuerza, N. Sultan.json(28)"
principal direction,OTHER,1142,37,"Ian R. Clark, Joseph A. Cartwright.json(49); 9781565762879_ch03.json(39); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(23); JFM_709_2012.json(27); 1-s2.0-S0191814106000101-main.json(24); Giacomo Dalla Valle.json(34); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(12); epjbidisperse2007.json(18); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(15); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(9); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(35); lacoste-et-al.json(20); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(34); Bull & Cartwright (2009).json(56); Dos-Reis-et-al-2016-MPG.json(32); Alves_AAPG_MTDs_14.json(32); 386816a0.json(10); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(22); D. Leynaud.json(38); 1-s2.0-S0025322713000571-main.json(32); Moscardelli_and_Wood_2008.json(40); 1-s2.0-S0025322712000412-main.json(34); Wei Li a,⁎, Tiago M. Alves.json(34); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(25); 9781565762879_ch02.json(44); J. S. Laberg.json(34); RichardsonetalBasinResearch2011-online (1).json(29); 3-s2.0-B9780128130810007047-main.json(21); Submarine_Mass_Movements_on_Continental.json(70); Elverhoi, A., Breien.json(41); 1-s2.0-S0040195109002819-main.json(23); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(45); S. Lafuerza, N. Sultan.json(26); 845.json(21); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(40); Simon E. Lee.json(28); 1-s2.0-S0264817216304585-main.json(26)"
detached mtd,FEATURE,1020,37,"9781565762879_ch03.json(39); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(18); JFM_709_2012.json(32); 1-s2.0-S0191814106000101-main.json(27); 1-s2.0-S0264817216304585-main.json(18); Giacomo Dalla Valle.json(37); epjbidisperse2007.json(32); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(11); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(33); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(28); Bull & Cartwright (2009).json(44); Dos-Reis-et-al-2016-MPG.json(34); Alves_AAPG_MTDs_14.json(41); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(31); D. Leynaud.json(29); 1-s2.0-S0025322713000571-main.json(27); Moscardelli_and_Wood_2008.json(45); 1-s2.0-S0025322712000412-main.json(25); Wei Li a,⁎, Tiago M. Alves.json(29); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(30); 9781565762879_ch02.json(37); J. S. Laberg.json(24); RichardsonetalBasinResearch2011-online (1).json(24); 3-s2.0-B9780128130810007047-main.json(23); Submarine_Mass_Movements_on_Continental.json(54); 1-s2.0-S0040195109002819-main.json(24); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(36); S. Lafuerza, N. Sultan.json(20); 845.json(25); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(36); Ian R. Clark, Joseph A. Cartwright.json(26); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(12); Elverhoi, A., Breien.json(34); Simon E. Lee.json(14); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(7); lacoste-et-al.json(10); 386816a0.json(4)"
source domain in basin,LOCATION,978,37,"Ian R. Clark, Joseph A. Cartwright.json(33); 9781565762879_ch03.json(59); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(30); JFM_709_2012.json(13); 1-s2.0-S0191814106000101-main.json(15); 1-s2.0-S0264817216304585-main.json(34); Giacomo Dalla Valle.json(32); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(8); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(34); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(35); Bull & Cartwright (2009).json(31); Dos-Reis-et-al-2016-MPG.json(33); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(21); D. Leynaud.json(40); 1-s2.0-S0025322713000571-main.json(26); Moscardelli_and_Wood_2008.json(49); Wei Li a,⁎, Tiago M. Alves.json(27); 9781565762879_ch02.json(27); RichardsonetalBasinResearch2011-online (1).json(32); 3-s2.0-B9780128130810007047-main.json(26); Submarine_Mass_Movements_on_Continental.json(48); Elverhoi, A., Breien.json(18); 1-s2.0-S0040195109002819-main.json(23); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(39); S. Lafuerza, N. Sultan.json(24); 845.json(27); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(30); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(15); Alves_AAPG_MTDs_14.json(41); 1-s2.0-S0025322712000412-main.json(15); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(31); J. S. Laberg.json(24); Simon E. Lee.json(19); 386816a0.json(2); lacoste-et-al.json(6); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(9); epjbidisperse2007.json(2)"
near structural elements laterally,OTHER,939,37,"9781565762879_ch03.json(37); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(27); JFM_709_2012.json(26); 1-s2.0-S0191814106000101-main.json(18); 1-s2.0-S0264817216304585-main.json(26); Giacomo Dalla Valle.json(22); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(8); epjbidisperse2007.json(22); Bull & Cartwright (2009).json(29); Alves_AAPG_MTDs_14.json(38); 386816a0.json(10); D. Leynaud.json(25); 1-s2.0-S0025322713000571-main.json(24); Moscardelli_and_Wood_2008.json(33); 1-s2.0-S0025322712000412-main.json(22); Wei Li a,⁎, Tiago M. Alves.json(20); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(38); 9781565762879_ch02.json(43); J. S. Laberg.json(24); RichardsonetalBasinResearch2011-online (1).json(29); 3-s2.0-B9780128130810007047-main.json(17); Submarine_Mass_Movements_on_Continental.json(47); 1-s2.0-S0040195109002819-main.json(21); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(37); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(35); Simon E. Lee.json(18); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(24); lacoste-et-al.json(12); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(30); Dos-Reis-et-al-2016-MPG.json(29); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(16); Elverhoi, A., Breien.json(31); 845.json(32); Ian R. Clark, Joseph A. Cartwright.json(24); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(12); S. Lafuerza, N. Sultan.json(23); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(10)"
average thickness,OTHER,850,37,"Ian R. Clark, Joseph A. Cartwright.json(28); Giacomo Dalla Valle.json(21); epjbidisperse2007.json(39); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(15); lacoste-et-al.json(30); Bull & Cartwright (2009).json(23); Dos-Reis-et-al-2016-MPG.json(29); Alves_AAPG_MTDs_14.json(21); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(30); 1-s2.0-S0025322713000571-main.json(25); Moscardelli_and_Wood_2008.json(26); Wei Li a,⁎, Tiago M. Alves.json(28); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(12); RichardsonetalBasinResearch2011-online (1).json(22); Submarine_Mass_Movements_on_Continental.json(43); Elverhoi, A., Breien.json(34); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(30); 845.json(14); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(38); Simon E. Lee.json(18); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(11); JFM_709_2012.json(26); 1-s2.0-S0191814106000101-main.json(36); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(26); 386816a0.json(10); D. Leynaud.json(21); 9781565762879_ch02.json(23); J. S. Laberg.json(14); 1-s2.0-S0040195109002819-main.json(29); S. Lafuerza, N. Sultan.json(22); 3-s2.0-B9780128130810007047-main.json(15); 9781565762879_ch03.json(29); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(7); 1-s2.0-S0025322712000412-main.json(19); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(11); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(9); 1-s2.0-S0264817216304585-main.json(16)"
local fluidization,OTHER,839,37,"Ian R. Clark, Joseph A. Cartwright.json(25); 9781565762879_ch03.json(34); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(16); JFM_709_2012.json(33); 1-s2.0-S0191814106000101-main.json(20); 1-s2.0-S0264817216304585-main.json(15); Giacomo Dalla Valle.json(22); epjbidisperse2007.json(21); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(19); lacoste-et-al.json(14); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(22); Bull & Cartwright (2009).json(25); Dos-Reis-et-al-2016-MPG.json(18); Alves_AAPG_MTDs_14.json(35); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(30); Moscardelli_and_Wood_2008.json(43); 1-s2.0-S0025322712000412-main.json(19); Wei Li a,⁎, Tiago M. Alves.json(15); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(15); 9781565762879_ch02.json(32); J. S. Laberg.json(19); RichardsonetalBasinResearch2011-online (1).json(24); Submarine_Mass_Movements_on_Continental.json(51); Elverhoi, A., Breien.json(26); 1-s2.0-S0040195109002819-main.json(19); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(29); S. Lafuerza, N. Sultan.json(17); 845.json(20); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(43); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(16); D. Leynaud.json(22); 1-s2.0-S0025322713000571-main.json(22); Simon E. Lee.json(21); 3-s2.0-B9780128130810007047-main.json(11); 386816a0.json(15); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3)"
bs strong amplitude,FACIES,700,37,"9781565762879_ch03.json(28); 1-s2.0-S0191814106000101-main.json(15); 1-s2.0-S0264817216304585-main.json(17); Giacomo Dalla Valle.json(13); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(25); Dos-Reis-et-al-2016-MPG.json(20); Alves_AAPG_MTDs_14.json(19); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(20); D. Leynaud.json(22); 1-s2.0-S0025322713000571-main.json(16); Moscardelli_and_Wood_2008.json(26); Wei Li a,⁎, Tiago M. Alves.json(18); 9781565762879_ch02.json(21); J. S. Laberg.json(11); Submarine_Mass_Movements_on_Continental.json(46); Elverhoi, A., Breien.json(22); 1-s2.0-S0040195109002819-main.json(16); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(47); 845.json(19); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(29); Simon E. Lee.json(12); Ian R. Clark, Joseph A. Cartwright.json(17); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(17); JFM_709_2012.json(14); epjbidisperse2007.json(31); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(18); lacoste-et-al.json(11); Bull & Cartwright (2009).json(21); 1-s2.0-S0025322712000412-main.json(16); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(20); RichardsonetalBasinResearch2011-online (1).json(18); S. Lafuerza, N. Sultan.json(15); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(7); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(11); 386816a0.json(6); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); 3-s2.0-B9780128130810007047-main.json(13)"
bs ramps,FEATURE,681,37,"Ian R. Clark, Joseph A. Cartwright.json(18); 9781565762879_ch03.json(30); JFM_709_2012.json(15); 1-s2.0-S0191814106000101-main.json(23); 1-s2.0-S0264817216304585-main.json(13); Giacomo Dalla Valle.json(21); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(19); lacoste-et-al.json(11); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(23); Bull & Cartwright (2009).json(28); Alves_AAPG_MTDs_14.json(20); 386816a0.json(3); 1-s2.0-S0025322713000571-main.json(28); Moscardelli_and_Wood_2008.json(32); 1-s2.0-S0025322712000412-main.json(18); Wei Li a,⁎, Tiago M. Alves.json(21); 9781565762879_ch02.json(14); RichardsonetalBasinResearch2011-online (1).json(30); 3-s2.0-B9780128130810007047-main.json(15); Submarine_Mass_Movements_on_Continental.json(32); Elverhoi, A., Breien.json(28); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(24); S. Lafuerza, N. Sultan.json(15); 845.json(26); Simon E. Lee.json(24); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(6); epjbidisperse2007.json(12); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(7); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(9); Dos-Reis-et-al-2016-MPG.json(17); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(13); 1-s2.0-S0040195109002819-main.json(19); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(18); D. Leynaud.json(16); J. S. Laberg.json(11); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(11); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(11)"
