Subject,Class_S,Relation,Object,Class_O
local fluidization,OTHER,RELATED_TO,sea level evolution,LOCATION
local fluidization,OTHER,RELATED_TO,preserved blocks size,FEATURE
local fluidization,OTHER,RELATED_TO,runout distance,MEASURE
local fluidization,OTHER,RELATED_TO,detached mtd,FEATURE
local fluidization,OTHER,RELATED_TO,mtd principal direction,FEATURE
local fluidization,OTHER,RELATED_TO,bs strong amplitude,FACIES
local fluidization,OTHER,RELATED_TO,transparent facies distribution,FACIES
local fluidization,OTHER,RELATED_TO,source domain in basin,LOCATION
local fluidization,OTHER,RELATED_TO,bs ramps,FEATURE
local fluidization,OTHER,RELATED_TO,inducing seismicity,FACIES
local fluidization,OTHER,RELATED_TO,presence of preserved blocks,FEATURE
local fluidization,OTHER,RELATED_TO,upward connection to other mtds,FEATURE
local fluidization,OTHER,RELATED_TO,mtd volume,FEATURE
local fluidization,OTHER,RELATED_TO,lithology distribution in mtd,FEATURE
local fluidization,OTHER,RELATED_TO,offshore events and waves,LOCATION
local fluidization,OTHER,RELATED_TO,basin depocenter position,LOCATION
local fluidization,OTHER,RELATED_TO,surface area,FEATURE
local fluidization,OTHER,RELATED_TO,seafloor effective friction angle,LOCATION
local fluidization,OTHER,RELATED_TO,chaotic facies distribution,FACIES
local fluidization,OTHER,RELATED_TO,hs downslope evolution,LOCATION
local fluidization,OTHER,RELATED_TO,pore pressure increase by compression,TRIGGER
local fluidization,OTHER,RELATED_TO,pore pressure increase by fluid migration,TRIGGER
local fluidization,OTHER,RELATED_TO,vertical distribution of mtds,FEATURE
local fluidization,OTHER,RELATED_TO,flow velocity and energy,PROCESS
local fluidization,OTHER,RELATED_TO,us ramps or ridges,FEATURE
local fluidization,OTHER,RELATED_TO,triggering cascading mass movements,MEASURE
local fluidization,OTHER,RELATED_TO,us median slope,LOCATION
local fluidization,OTHER,RELATED_TO,bs median slope,LOCATION
local fluidization,OTHER,RELATED_TO,lateral distribution of mtds,FEATURE
local fluidization,OTHER,RELATED_TO,modifying basin geomorphology,LOCATION
local fluidization,OTHER,RELATED_TO,grains heterogeneity in flowing mass,PROCESS
local fluidization,OTHER,RELATED_TO,sedimentation rate and type,MATERIAL
local fluidization,OTHER,RELATED_TO,mtd proportion in sedimentary pile,FEATURE
local fluidization,OTHER,RELATED_TO,lateral connection to other mtds,FEATURE
local fluidization,OTHER,RELATED_TO,lithology of underlying material in source zone,LOCATION
local fluidization,OTHER,RELATED_TO,post deposition of turbidites,PROCESS
local fluidization,OTHER,RELATED_TO,lithology in transported mass,PROCESS
local fluidization,OTHER,RELATED_TO,post deposition regional deformation,PROCESS
local fluidization,OTHER,TRIGGERED_BY,fluid overpressure on basal surface,FEATURE
local fluidization,OTHER,RELATED_TO,initial potential energy of mass,MEASURE
local fluidization,OTHER,RELATED_TO,us with turbidites on top,PROCESS
local fluidization,OTHER,RELATED_TO,multiple terracing downslope,LOCATION
local fluidization,OTHER,RELATED_TO,bs flat sub-horizontal zone,LOCATION
local fluidization,OTHER,RELATED_TO,thrust fault angle increase to toe,FEATURE
local fluidization,OTHER,RELATED_TO,fluid overpressure in moving mass,TRIGGER
local fluidization,OTHER,RELATED_TO,seafloor shapes and dip variations,LOCATION
local fluidization,OTHER,RELATED_TO,local thickening of flowing material,PROCESS
local fluidization,OTHER,RELATED_TO,flow direction,PROCESS
deformed facies distribution,OTHER,RELATED_TO,transparent facies distribution,FACIES
deformed facies distribution,OTHER,LOCATED_IN,source domain in basin,LOCATION
deformed facies distribution,OTHER,RELATED_TO,seafloor effective friction angle,LOCATION
deformed facies distribution,OTHER,RELATED_TO,detached mtd,FEATURE
deformed facies distribution,OTHER,RELATED_TO,mtd volume,FEATURE
deformed facies distribution,OTHER,RELATED_TO,preserved blocks size,FEATURE
deformed facies distribution,OTHER,RELATED_TO,bs ramps,FEATURE
deformed facies distribution,OTHER,RELATED_TO,inducing seismicity,FACIES
deformed facies distribution,OTHER,LOCATED_IN,mtd principal direction,FEATURE
deformed facies distribution,OTHER,RELATED_TO,lithology in transported mass,PROCESS
deformed facies distribution,OTHER,LOCATED_IN,bs strong amplitude,FACIES
deformed facies distribution,OTHER,RELATED_TO,presence of preserved blocks,FEATURE
deformed facies distribution,OTHER,RELATED_TO,lithology distribution in mtd,FEATURE
deformed facies distribution,OTHER,RELATED_TO,surface area,FEATURE
deformed facies distribution,OTHER,RELATED_TO,grains heterogeneity in flowing mass,PROCESS
deformed facies distribution,OTHER,RELATED_TO,sea level evolution,LOCATION
deformed facies distribution,OTHER,RELATED_TO,runout distance,MEASURE
deformed facies distribution,OTHER,RELATED_TO,local thickening of flowing material,PROCESS
deformed facies distribution,OTHER,RELATED_TO,triggering cascading mass movements,MEASURE
deformed facies distribution,OTHER,RELATED_TO,post deposition regional deformation,PROCESS
deformed facies distribution,OTHER,RELATED_TO,thrust fault angle increase to toe,FEATURE
deformed facies distribution,OTHER,RELATED_TO,fluid overpressure in moving mass,TRIGGER
deformed facies distribution,OTHER,RELATED_TO,triggering cascading mtds,FEATURE
deformed facies distribution,OTHER,RELATED_TO,offshore events and waves,LOCATION
deformed facies distribution,OTHER,RELATED_TO,us median slope,LOCATION
deformed facies distribution,OTHER,RELATED_TO,us ramps or ridges,FEATURE
deformed facies distribution,OTHER,RELATED_TO,multiple terracing downslope,LOCATION
deformed facies distribution,OTHER,LOCATED_IN,hs downslope evolution,LOCATION
deformed facies distribution,OTHER,RELATED_TO,post deposition of turbidites,PROCESS
frontal compression,OTHER,RELATED_TO,runout distance,MEASURE
